bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1901930,3092074,text,232749,application/pdf,Introduced,https://legiscan.com/US/text/HB32/id/3092074,https://www.congress.gov/119/bills/hr32/BILLS-119hr32ih.pdf
1901840,3056513,text,308646,application/pdf,Introduced,https://legiscan.com/US/text/HB33/id/3056513,https://www.congress.gov/119/bills/hr33/BILLS-119hr33ih.pdf
1901840,3064019,text,169471,application/pdf,Engrossed,https://legiscan.com/US/text/HB33/id/3064019,https://www.congress.gov/119/bills/hr33/BILLS-119hr33eh.pdf
1901796,3092060,text,231297,application/pdf,Introduced,https://legiscan.com/US/text/HB34/id/3092060,https://www.congress.gov/119/bills/hr34/BILLS-119hr34ih.pdf
1901783,3094274,text,237157,application/pdf,Introduced,https://legiscan.com/US/text/HB35/id/3094274,https://www.congress.gov/119/bills/hr35/BILLS-119hr35ih.pdf
1901783,3120697,text,118181,application/pdf,Engrossed,https://legiscan.com/US/text/HB35/id/3120697,https://www.congress.gov/119/bills/hr35/BILLS-119hr35eh.pdf
1901921,3092796,text,264911,application/pdf,Introduced,https://legiscan.com/US/text/HB36/id/3092796,https://www.congress.gov/119/bills/hr36/BILLS-119hr36ih.pdf
1901921,3232219,text,241414,application/pdf,Introduced,https://legiscan.com/US/text/HB36/id/3232219,https://www.congress.gov/119/bills/hr36/BILLS-119hr36pcs.pdf
1901921,3230961,text,150209,application/pdf,Engrossed,https://legiscan.com/US/text/HB36/id/3230961,https://www.congress.gov/119/bills/hr36/BILLS-119hr36eh.pdf
1901960,3093044,text,232388,application/pdf,Introduced,https://legiscan.com/US/text/HB37/id/3093044,https://www.congress.gov/119/bills/hr37/BILLS-119hr37ih.pdf
1901950,3090165,text,239927,application/pdf,Introduced,https://legiscan.com/US/text/HB38/id/3090165,https://www.congress.gov/119/bills/hr38/BILLS-119hr38ih.pdf
1901833,3090999,text,235520,application/pdf,Introduced,https://legiscan.com/US/text/HB39/id/3090999,https://www.congress.gov/119/bills/hr39/BILLS-119hr39ih.pdf
1901892,3090211,text,258071,application/pdf,Introduced,https://legiscan.com/US/text/HB40/id/3090211,https://www.congress.gov/119/bills/hr40/BILLS-119hr40ih.pdf
1901858,3097279,text,266010,application/pdf,Introduced,https://legiscan.com/US/text/HB41/id/3097279,https://www.congress.gov/119/bills/hr41/BILLS-119hr41ih.pdf
1901957,3092914,text,230587,application/pdf,Introduced,https://legiscan.com/US/text/HB42/id/3092914,https://www.congress.gov/119/bills/hr42/BILLS-119hr42ih.pdf
1901957,3104095,text,103688,application/pdf,Engrossed,https://legiscan.com/US/text/HB42/id/3104095,https://www.congress.gov/119/bills/hr42/BILLS-119hr42eh.pdf
1901957,3258072,text,119687,application/pdf,Enrolled,https://legiscan.com/US/text/HB42/id/3258072,https://www.congress.gov/119/bills/hr42/BILLS-119hr42enr.pdf
1901782,3092912,text,237522,application/pdf,Introduced,https://legiscan.com/US/text/HB43/id/3092912,https://www.congress.gov/119/bills/hr43/BILLS-119hr43ih.pdf
1901782,3104104,text,111275,application/pdf,Engrossed,https://legiscan.com/US/text/HB43/id/3104104,https://www.congress.gov/119/bills/hr43/BILLS-119hr43eh.pdf
1901782,3258070,text,126026,application/pdf,Enrolled,https://legiscan.com/US/text/HB43/id/3258070,https://www.congress.gov/119/bills/hr43/BILLS-119hr43enr.pdf
1901745,3092900,text,230811,application/pdf,Introduced,https://legiscan.com/US/text/HB44/id/3092900,https://www.congress.gov/119/bills/hr44/BILLS-119hr44ih.pdf
1901822,3092962,text,239134,application/pdf,Introduced,https://legiscan.com/US/text/HB45/id/3092962,https://www.congress.gov/119/bills/hr45/BILLS-119hr45ih.pdf
1901911,3093029,text,230779,application/pdf,Introduced,https://legiscan.com/US/text/HB46/id/3093029,https://www.congress.gov/119/bills/hr46/BILLS-119hr46ih.pdf
1901917,3090438,text,233496,application/pdf,Introduced,https://legiscan.com/US/text/HB47/id/3090438,https://www.congress.gov/119/bills/hr47/BILLS-119hr47ih.pdf
1901847,3090381,text,237632,application/pdf,Introduced,https://legiscan.com/US/text/HB48/id/3090381,https://www.congress.gov/119/bills/hr48/BILLS-119hr48ih.pdf
1901764,3090359,text,230345,application/pdf,Introduced,https://legiscan.com/US/text/HB49/id/3090359,https://www.congress.gov/119/bills/hr49/BILLS-119hr49ih.pdf
1901789,3092859,text,232413,application/pdf,Introduced,https://legiscan.com/US/text/HB50/id/3092859,https://www.congress.gov/119/bills/hr50/BILLS-119hr50ih.pdf
1901882,3100503,text,388898,application/pdf,Introduced,https://legiscan.com/US/text/HB51/id/3100503,https://www.congress.gov/119/bills/hr51/BILLS-119hr51ih.pdf
1901905,3092019,text,235272,application/pdf,Introduced,https://legiscan.com/US/text/HB52/id/3092019,https://www.congress.gov/119/bills/hr52/BILLS-119hr52ih.pdf
1901867,3087694,text,230916,application/pdf,Introduced,https://legiscan.com/US/text/HB53/id/3087694,https://www.congress.gov/119/bills/hr53/BILLS-119hr53ih.pdf
1901893,3090184,text,231135,application/pdf,Introduced,https://legiscan.com/US/text/HB54/id/3090184,https://www.congress.gov/119/bills/hr54/BILLS-119hr54ih.pdf
1901749,3090348,text,210764,application/pdf,Introduced,https://legiscan.com/US/text/HB55/id/3090348,https://www.congress.gov/119/bills/hr55/BILLS-119hr55ih.pdf
1901925,3155862,text,242241,application/pdf,Introduced,https://legiscan.com/US/text/HB56/id/3155862,https://www.congress.gov/119/bills/hr56/BILLS-119hr56ih.pdf
1901878,3092098,text,233896,application/pdf,Introduced,https://legiscan.com/US/text/HB57/id/3092098,https://www.congress.gov/119/bills/hr57/BILLS-119hr57ih.pdf
1901940,3090380,text,230887,application/pdf,Introduced,https://legiscan.com/US/text/HB58/id/3090380,https://www.congress.gov/119/bills/hr58/BILLS-119hr58ih.pdf
1901954,3097233,text,239116,application/pdf,Introduced,https://legiscan.com/US/text/HB59/id/3097233,https://www.congress.gov/119/bills/hr59/BILLS-119hr59ih.pdf
1901887,3097226,text,237170,application/pdf,Introduced,https://legiscan.com/US/text/HB60/id/3097226,https://www.congress.gov/119/bills/hr60/BILLS-119hr60ih.pdf
1901959,3095137,text,234092,application/pdf,Introduced,https://legiscan.com/US/text/HB61/id/3095137,https://www.congress.gov/119/bills/hr61/BILLS-119hr61ih.pdf
1901774,3095158,text,230874,application/pdf,Introduced,https://legiscan.com/US/text/HB62/id/3095158,https://www.congress.gov/119/bills/hr62/BILLS-119hr62ih.pdf
1901956,3095000,text,230942,application/pdf,Introduced,https://legiscan.com/US/text/HB63/id/3095000,https://www.congress.gov/119/bills/hr63/BILLS-119hr63ih.pdf
1901746,3097214,text,232419,application/pdf,Introduced,https://legiscan.com/US/text/HB64/id/3097214,https://www.congress.gov/119/bills/hr64/BILLS-119hr64ih.pdf
1901784,3097237,text,235044,application/pdf,Introduced,https://legiscan.com/US/text/HB65/id/3097237,https://www.congress.gov/119/bills/hr65/BILLS-119hr65ih.pdf
1901864,3092802,text,232687,application/pdf,Introduced,https://legiscan.com/US/text/HB66/id/3092802,https://www.congress.gov/119/bills/hr66/BILLS-119hr66ih.pdf
